x,y,slope,r-coefficient,p-value,N,group
BA_diameter,age,0.3841975289254289,0.032030752229474074,0.7468575212728403,104,SVD type 0
BA_diameter,Education_year,0.04024709862659814,0.005462928429410242,0.9563245412172037,103,SVD type 0
BA_diameter,LICA_diameter,0.2054997964777333,0.2135761849117068,0.02948671460211342,104,SVD type 0
BA_diameter,RICA_diameter,0.09058271755673661,0.09475641556258317,0.33866549601206486,104,SVD type 0
BA_diameter,Height,2.584697762687472,0.1396074375043982,0.157524380827624,104,SVD type 0
BA_diameter,Weight,2.0903535652792966,0.06968241626259457,0.48212411141677425,104,SVD type 0
BA_diameter,SBP,-0.864945944726368,-0.017344074610309967,0.8612753519059079,104,SVD type 0
BA_diameter,DBP,-0.4642887874601634,-0.017946067358281744,0.8565109933239242,104,SVD type 0
BA_diameter,BMI,-0.21488439141496166,-0.021781380865634723,0.8262849449286555,104,SVD type 0
BA_diameter,Waist,-0.731090279527498,-0.025835763097236508,0.7946067913834789,104,SVD type 0
BA_diameter,Hip,0.13833357886211872,0.007657334007532982,0.938506522397929,104,SVD type 0
BA_diameter,Pulse,2.378717630091274,0.10472476425199172,0.2900592222583851,104,SVD type 0
BA_diameter,Daily_calories ,32.69617278096185,0.07875880011015783,0.4902328376252669,79,SVD type 0
BA_diameter,pace_m_per_sec,0.050579819311579836,0.0355094476870258,0.7204459263394222,104,SVD type 0
BA_diameter,grip,1.585803192576829,0.07739069946531535,0.43488092984921145,104,SVD type 0
BA_diameter,chair_sit_up,-0.10503541163545935,-0.01742638273914996,0.8606236421090319,104,SVD type 0
BA_diameter,IPAQ,-0.7784379619280682,-0.012260112859632669,0.914600667919196,79,SVD type 0
BA_diameter,Cholesterol,-17.829430290275806,-0.175752262482043,0.07577053189573188,103,SVD type 0
BA_diameter,TG,1.9616680259467199,0.012454096536096646,0.9132546417126393,79,SVD type 0
BA_diameter,LDL,-12.052595626376322,-0.13376685894041912,0.17795457202729825,103,SVD type 0
BA_diameter,HbA1C,-0.2364515624801557,-0.16152230565116793,0.10310394911614502,103,SVD type 0
BA_diameter,MMSE,0.21013648765330684,0.06851177216910972,0.4895316859417109,104,SVD type 0
BA_diameter,cvlt_30Scorrect,0.3047552519211919,0.09690945687230834,0.32775413518259866,104,SVD type 0
BA_diameter,cvlt_10Mcorrect,-0.014032240439838554,-0.0035946640505962585,0.9711104681968146,104,SVD type 0
BA_diameter,Language_BNT_total,-0.6901104834339692,-0.058373586353853056,0.556127299748683,104,SVD type 0
BA_diameter,TY_CFT_copy,0.18861061445832955,0.040820816998038224,0.6807554627758334,104,SVD type 0
BA_diameter,TY_CFT_delayed,-0.8196158668171387,-0.05316625091265439,0.591946253369162,104,SVD type 0
BA_diameter,verbal_fluency_animal_cor,0.6731946533115086,0.055921806683675954,0.5728619430707127,104,SVD type 0
BA_diameter,digital_forward,0.21106794657717473,0.08473294581850664,0.39243741037043267,104,SVD type 0
BA_diameter,digital_backward,-0.015133078221522753,-0.004712203411724996,0.962134905493112,104,SVD type 0
BA_diameter,GDS,-0.022719411355371134,-0.01187997676122349,0.9047268191650086,104,SVD type 0
BA_diameter,Clock,-0.20969397765188483,-0.03148824693181133,0.7510038646648871,104,SVD type 0
BA_diameter,Digit_symbol_120sec,3.7043709761532977,0.0995126140447217,0.314865363332466,104,SVD type 0
BA_diameter,GMV,-0.009609270236995789,-0.07847078386557385,0.42847838548715134,104,SVD type 0
BA_diameter,WMV,-0.005086203115086308,-0.04414281836673251,0.6563585433936259,104,SVD type 0
BA_diameter,CSFV,-0.021406580434272914,-0.09906424830007139,0.31706159451638216,104,SVD type 0
BA_diameter,TIV,-0.03610205378635393,-0.11609787074496465,0.2405414871342139,104,SVD type 0
BA_diameter,gBA,-2.5148412415378485,-0.09185220040879437,0.3537431211217733,104,SVD type 0
BA_diameter,gBAG,-2.803688881302096,-0.1294215565586396,0.19039596556382332,104,SVD type 0
BA_diameter,PVWMH,-0.26883279445212177,-0.05508720004801353,0.5786117832782235,104,SVD type 0
BA_diameter,DPWMH,-0.5833145744595984,-0.16085810356882146,0.10454734918864372,103,SVD type 0
BA_diameter,TotalWMH,-1.4165257042589756,-0.12476293787200987,0.2092374193108168,103,SVD type 0
LICA_diameter,age,2.699156404486576,0.21652058567323523,0.027268225313806207,104,SVD type 0
LICA_diameter,Education_year,-0.18796556649636106,-0.024565082857065743,0.8054477586342221,103,SVD type 0
LICA_diameter,BA_diameter,0.2219699850962242,0.2135761849117068,0.02948671460211342,104,SVD type 0
LICA_diameter,RICA_diameter,0.5778690102240541,0.5816359673103345,9.50181438148155e-11,104,SVD type 0
LICA_diameter,Height,-4.026397453546586,-0.20925411304018568,0.033019083473151856,104,SVD type 0
LICA_diameter,Weight,-5.276785317653135,-0.16925108024903462,0.0858727549934164,104,SVD type 0
LICA_diameter,SBP,-2.954414708546643,-0.05700227574026746,0.5654582177350148,104,SVD type 0
LICA_diameter,DBP,-1.7084002663475437,-0.06353737962907546,0.5216700211498962,104,SVD type 0
LICA_diameter,BMI,-0.9263396812944452,-0.09034609337818325,0.3617243023380713,104,SVD type 0
LICA_diameter,Waist,-5.8060658375229615,-0.19741984734725138,0.04456065718169733,104,SVD type 0
LICA_diameter,Hip,-2.3069554225986875,-0.12287053594756578,0.21401213201170732,104,SVD type 0
LICA_diameter,Pulse,3.2047284265922373,0.13575514697107344,0.16941872355923665,104,SVD type 0
LICA_diameter,Daily_calories ,-104.71219580811542,-0.24734423972583833,0.027972485163198654,79,SVD type 0
