group_val,cat_col,diameter,group0,group1,n_group0,n_group1,test,statistic,p_value
SVD type 3,Dyslipidemia,BA_diameter,1.07 [0.90–1.24],1.10 [0.91–1.30],18,15,Mann-Whitney U,133.0,0.9567498363337371
SVD type 3,Dyslipidemia,LICA_diameter,1.69 [1.44–1.95],1.79 [1.64–1.94],18,15,t-test,-0.6765436863565588,0.5037126076962497
SVD type 3,Dyslipidemia,RICA_diameter,1.46 [1.35–1.89],1.81 [1.67–1.96],18,15,Mann-Whitney U,89.0,0.0999582690159817
SVD type 4,ICASS,BA_diameter,1.16 [1.03–1.28],1.33 [1.18–1.48],22,3,Mann-Whitney U,14.0,0.12782608695652176
SVD type 4,ICASS,LICA_diameter,1.66 [1.50–1.86],1.83 [1.24–2.43],23,3,Mann-Whitney U,24.0,0.44153846153846155
SVD type 4,ICASS,RICA_diameter,1.75 [1.55–1.96],1.66 [1.32–2.01],23,3,Mann-Whitney U,34.0,1.0
SVD type 4,ICAS,BA_diameter,1.18 [1.07–1.29],nan [nan–nan],25,0,Insufficient data,,
SVD type 4,ICAS,LICA_diameter,1.68 [1.52–1.86],nan [nan–nan],26,0,Insufficient data,,
SVD type 4,ICAS,RICA_diameter,1.66 [1.51–1.90],nan [nan–nan],26,0,Insufficient data,,
SVD type 4,sex,BA_diameter,1.31 [1.21–1.41],0.94 [0.78–1.11],16,9,Mann-Whitney U,129.0,0.0013805706260763017
SVD type 4,sex,LICA_diameter,1.80 [1.62–1.86],1.47 [1.20–1.75],17,9,Mann-Whitney U,123.0,0.013165786141173242
SVD type 4,sex,RICA_diameter,1.74 [1.60–2.05],1.48 [1.26–1.71],17,9,Mann-Whitney U,115.0,0.04055229729646387
SVD type 4,Alcohol,BA_diameter,1.26 [1.06–1.46],1.13 [0.99–1.27],9,16,Mann-Whitney U,87.0,0.4117027470058471
SVD type 4,Alcohol,LICA_diameter,1.80 [1.33–2.28],1.70 [1.53–1.88],9,17,Mann-Whitney U,79.0,0.9141594109425056
SVD type 4,Alcohol,RICA_diameter,1.83 [1.36–2.29],1.70 [1.51–1.88],9,17,Mann-Whitney U,87.0,0.5899088966159687
SVD type 4,Smoke,BA_diameter,1.19 [1.08–1.30],0.99 [0.84–1.15],23,2,Mann-Whitney U,28.0,0.6666666666666667
SVD type 4,Smoke,LICA_diameter,1.68 [1.53–1.86],1.79 [1.64–1.94],24,2,Mann-Whitney U,22.0,0.8861538461538463
SVD type 4,Smoke,RICA_diameter,1.64 [1.51–1.93],1.70 [1.67–1.72],24,2,Mann-Whitney U,21.0,0.8123076923076924
SVD type 4,HTN,BA_diameter,1.18 [1.04–1.33],1.17 [0.96–1.37],15,10,Mann-Whitney U,82.0,0.7184320389103389
SVD type 4,HTN,LICA_diameter,1.70 [1.47–1.92],1.70 [1.55–1.79],16,10,Mann-Whitney U,80.0,1.0
SVD type 4,HTN,RICA_diameter,1.69 [1.46–1.91],1.68 [1.56–1.84],16,10,Mann-Whitney U,73.0,0.731914390166458
SVD type 4,DM,BA_diameter,1.19 [1.07–1.31],1.14 [0.83–1.45],18,7,Mann-Whitney U,76.0,0.4583815269398793
SVD type 4,DM,LICA_diameter,1.74 [1.57–1.91],1.58 [1.48–1.74],19,7,Mann-Whitney U,81.0,0.42726056552143504
SVD type 4,DM,RICA_diameter,1.75 [1.58–1.92],1.72 [1.08–2.36],19,7,Mann-Whitney U,78.0,0.5335603526907874
SVD type 4,Dyslipidemia,BA_diameter,1.26 [1.13–1.39],1.01 [0.83–1.18],17,8,Mann-Whitney U,109.0,0.015863902179691653
SVD type 4,Dyslipidemia,LICA_diameter,1.81 [1.62–1.87],1.46 [1.27–1.66],18,8,Mann-Whitney U,124.0,0.0026832663903602117
SVD type 4,Dyslipidemia,RICA_diameter,1.88 [1.65–2.11],1.44 [1.24–1.64],18,8,Mann-Whitney U,123.0,0.003350242434910627
