group_val,cat_col,diameter,group0,group1,n_group0,n_group1,test,statistic,p_value
CSVD score 0,HTN,BA_diameter,1.12 [1.03–1.21],1.07 [0.95–1.20],52,16,Mann-Whitney U,450.0,0.6281454755831173
CSVD score 0,HTN,LICA_diameter,1.81 [1.69–1.93],1.55 [1.40–1.71],52,16,Mann-Whitney U,570.0,0.026467439930276376
CSVD score 0,HTN,RICA_diameter,1.78 [1.66–1.89],1.53 [1.38–1.69],52,16,Mann-Whitney U,568.0,0.02849757298165726
CSVD score 0,DM,BA_diameter,1.11 [1.03–1.18],1.13 [0.25–2.01],65,3,Mann-Whitney U,98.0,0.9999999999999999
CSVD score 0,DM,LICA_diameter,1.74 [1.64–1.84],2.00 [0.50–3.50],65,3,Mann-Whitney U,65.0,0.3560140474100088
CSVD score 0,DM,RICA_diameter,1.71 [1.61–1.80],1.94 [0.52–3.36],65,3,Mann-Whitney U,67.0,0.3880197940777397
CSVD score 0,Dyslipidemia,BA_diameter,1.08 [0.99–1.18],1.08 [0.93–1.37],44,24,Mann-Whitney U,460.0,0.38635893674464605
CSVD score 0,Dyslipidemia,LICA_diameter,1.73 [1.61–1.85],1.78 [1.58–1.97],44,24,Mann-Whitney U,515.0,0.8725544199151449
CSVD score 0,Dyslipidemia,RICA_diameter,1.72 [1.61–1.84],1.71 [1.53–1.89],44,24,Mann-Whitney U,545.0,0.8323041156133238
CSVD score 1,ICASS,BA_diameter,1.13 [0.93–1.27],0.95 [0.83–1.07],69,17,Mann-Whitney U,816.0,0.013019589225088406
CSVD score 1,ICASS,LICA_diameter,1.70 [1.49–1.96],1.73 [1.43–2.02],69,17,Mann-Whitney U,645.0,0.5293876095722727
CSVD score 1,ICASS,RICA_diameter,1.71 [1.45–1.96],1.73 [1.45–2.00],69,17,Mann-Whitney U,603.0,0.8622576447243524
CSVD score 1,ICAS,BA_diameter,1.08 [0.91–1.26],0.98 [0.71–1.24],79,7,Mann-Whitney U,338.0,0.3428908848090564
CSVD score 1,ICAS,LICA_diameter,1.66 [1.48–1.96],1.71 [1.15–2.27],79,7,Mann-Whitney U,293.0,0.8046881857876865
CSVD score 1,ICAS,RICA_diameter,1.71 [1.43–1.95],1.70 [1.16–2.23],79,7,Mann-Whitney U,276.0,1.0
CSVD score 1,sex,BA_diameter,1.18 [0.99–1.38],0.94 [0.85–1.03],56,30,Mann-Whitney U,1288.0,5.017730057778843e-05
CSVD score 1,sex,LICA_diameter,1.81 [1.62–2.23],1.38 [1.23–1.64],56,30,Mann-Whitney U,1353.0,3.4211683187006504e-06
CSVD score 1,sex,RICA_diameter,1.91 [1.79–2.03],1.42 [1.30–1.54],56,30,Mann-Whitney U,1385.0,8.06792886515956e-07
CSVD score 1,Alcohol,BA_diameter,1.17 [0.99–1.26],1.01 [0.84–1.26],24,62,Mann-Whitney U,930.0,0.07410459143055911
CSVD score 1,Alcohol,LICA_diameter,1.76 [1.60–1.99],1.65 [1.38–2.02],24,62,Mann-Whitney U,847.0,0.32371367094662395
CSVD score 1,Alcohol,RICA_diameter,1.84 [1.65–2.04],1.70 [1.58–1.81],24,62,Mann-Whitney U,882.0,0.18555949954157835
CSVD score 1,Smoke,BA_diameter,1.15 [0.92–1.27],0.97 [0.85–1.10],68,18,Mann-Whitney U,827.0,0.02278479992837912
CSVD score 1,Smoke,LICA_diameter,1.75 [1.56–2.09],1.52 [1.33–1.72],68,18,Mann-Whitney U,861.0,0.008340869778436831
CSVD score 1,Smoke,RICA_diameter,1.81 [1.70–1.92],1.46 [1.30–1.63],68,18,Mann-Whitney U,892.0,0.0030069053237928873
