x,y,slope,r-coefficient,p-value,N,group
BA_diameter,age,0.42160298093831744,0.03685725791645777,0.7653984434549231,68,CSVD score 0
BA_diameter,Education_year,0.09322927649137823,0.013538488355648054,0.9134112653756994,67,CSVD score 0
BA_diameter,LICA_diameter,0.28243663125779117,0.31190792666187855,0.009616644160219519,68,CSVD score 0
BA_diameter,RICA_diameter,0.1987617977061766,0.20583881980638788,0.09218038438380864,68,CSVD score 0
BA_diameter,Height,3.0898982743603716,0.17367045268207051,0.1566699961917279,68,CSVD score 0
BA_diameter,Weight,2.399532174733999,0.0806539256208265,0.5132244954746397,68,CSVD score 0
BA_diameter,SBP,2.851529851770162,0.0658530461361218,0.593652895135997,68,CSVD score 0
BA_diameter,DBP,2.256993721776896,0.09659016114566578,0.4332921726668072,68,CSVD score 0
BA_diameter,BMI,-0.28100612333457914,-0.02757108144506524,0.8233921500428633,68,CSVD score 0
BA_diameter,Waist,-1.5091743645757272,-0.05879100997022526,0.6339125298537908,68,CSVD score 0
BA_diameter,Hip,-0.345124584662656,-0.01906724007421615,0.8773484279646706,68,CSVD score 0
BA_diameter,Pulse,0.9305069274339276,0.043526812956416756,0.7245054003447013,68,CSVD score 0
BA_diameter,Daily_calories ,28.489536258447725,0.07076805844855684,0.6042588129590838,56,CSVD score 0
BA_diameter,pace_m_per_sec,0.05396098161898933,0.044468203892360586,0.7187918282965772,68,CSVD score 0
BA_diameter,grip,2.243371220200275,0.11344762676372022,0.35697349403418466,68,CSVD score 0
BA_diameter,chair_sit_up,0.4778588895750576,0.08505599471935558,0.4904222845452545,68,CSVD score 0
BA_diameter,IPAQ,2.6999572803100076,0.04383278016919532,0.7483842803430203,56,CSVD score 0
BA_diameter,Cholesterol,-29.137204518487913,-0.2785629528179522,0.022453294679258853,67,CSVD score 0
BA_diameter,TG,-14.142060246217971,-0.09121415799649331,0.5037603499764489,56,CSVD score 0
BA_diameter,LDL,-22.003236335605248,-0.2435197947394465,0.047056888736195984,67,CSVD score 0
BA_diameter,HbA1C,-0.3457881780672754,-0.2252336898021993,0.06686998236253454,67,CSVD score 0
BA_diameter,MMSE,0.296196714952546,0.11377549940956741,0.3555764109380585,68,CSVD score 0
BA_diameter,cvlt_30Scorrect,0.17707919061983285,0.06532747125937444,0.5966094406388531,68,CSVD score 0
BA_diameter,cvlt_10Mcorrect,-0.5465245228827167,-0.1700529697666852,0.16561998951081222,68,CSVD score 0
BA_diameter,Language_BNT_total,-2.059411891192532,-0.20427241546188785,0.09473884527924362,68,CSVD score 0
BA_diameter,TY_CFT_copy,-0.2530509097839521,-0.06167368285872287,0.6173416989369598,68,CSVD score 0
BA_diameter,TY_CFT_delayed,-3.733779277344784,-0.2734806268893814,0.02403466112440098,68,CSVD score 0
BA_diameter,verbal_fluency_animal_cor,-1.5070879191574473,-0.148331476016196,0.2273602726957907,68,CSVD score 0
BA_diameter,digital_forward,0.015635550074869976,0.007390719630396266,0.9523019327912166,68,CSVD score 0
BA_diameter,digital_backward,-0.4310765044435486,-0.1512878407751209,0.2181265408723667,68,CSVD score 0
BA_diameter,GDS,0.11104034327842352,0.05625983608180164,0.6486125472777782,68,CSVD score 0
BA_diameter,Clock,-0.1991236814631043,-0.03056460781639717,0.8045776433170376,68,CSVD score 0
BA_diameter,Digit_symbol_120sec,0.24531274364698974,0.00815762977653394,0.9473591572700265,68,CSVD score 0
BA_diameter,GMV,-0.01997388361123294,-0.17026002970062834,0.16509777633554748,68,CSVD score 0
BA_diameter,WMV,-0.010529044230302702,-0.09973804449142891,0.41838094379647506,68,CSVD score 0
BA_diameter,CSFV,-0.02088199993887158,-0.10521764891670592,0.39314115154187834,68,CSVD score 0
BA_diameter,TIV,-0.05138492778040592,-0.1845810342926991,0.1318477326248585,68,CSVD score 0
BA_diameter,gBA,-1.2782648563067265,-0.04989338740072826,0.6861720125171681,68,CSVD score 0
BA_diameter,gBAG,-1.614861549833644,-0.07914471668348078,0.5211643149051789,68,CSVD score 0
BA_diameter,PVWMH,-0.1570166486153508,-0.03221328235383981,0.7942619219594872,68,CSVD score 0
BA_diameter,DPWMH,0.036481018385278445,0.012298105721777683,0.9213180005929096,67,CSVD score 0
BA_diameter,TotalWMH,-0.11832525688318776,-0.01154278620566575,0.9261365069791305,67,CSVD score 0
LICA_diameter,age,3.258071599352164,0.2579138022186195,0.033716223319816684,68,CSVD score 0
LICA_diameter,Education_year,-0.5209137932213396,-0.06855050521472573,0.5814968407856254,67,CSVD score 0
LICA_diameter,BA_diameter,0.34445445083118315,0.31190792666187855,0.009616644160219519,68,CSVD score 0
LICA_diameter,RICA_diameter,0.7403551655566999,0.69427110227307,5.1869864781522036e-11,68,CSVD score 0
LICA_diameter,Height,-5.62220187713697,-0.2861427860103835,0.01800376608213379,68,CSVD score 0
LICA_diameter,Weight,-5.599785439111443,-0.17043741185844166,0.16465137559664653,68,CSVD score 0
LICA_diameter,SBP,-2.9171389126780762,-0.06100278573254072,0.6211817463306213,68,CSVD score 0
LICA_diameter,DBP,-0.7072786960024067,-0.02740865519919768,0.8244159546061669,68,CSVD score 0
LICA_diameter,BMI,-0.5665240245142072,-0.05033278487199544,0.6835539524451753,68,CSVD score 0
LICA_diameter,Waist,-2.824017961457506,-0.09961702487659818,0.41894868821850495,68,CSVD score 0
LICA_diameter,Hip,-3.211403239973261,-0.16065764256221837,0.19061059724892368,68,CSVD score 0
LICA_diameter,Pulse,4.460746024666207,0.18894672407474797,0.12279583507189733,68,CSVD score 0
